call_id,lead_id,call_date,duration_minutes,transcript,primary_objection,sentiment,risk_level,next_step_summary
CALL-2884,2884,2026-03-29 08:53:18.745207,25,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Lisa: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Lisa: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect will evaluate internally and get back.",Security and compliance are a major concern for us.,neutral,high,Prospect will evaluate internally and get back.
CALL-4866,4866,2025-07-17 14:33:40.745207,40,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
David: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
David: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We don't have budget for this right now.,positive,high,Customer asked for a proposal and pricing breakdown.
CALL-619,619,2025-11-23 23:39:30.745207,45,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Dylan: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Dylan: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",We don't have budget for this right now.,negative,medium,Prospect decided to postpone project to next year.
CALL-1078,1078,2026-01-25 08:55:17.745207,24,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Vicki: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Vicki: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",We're already using another project management tool.,negative,high,Prospect decided to postpone project to next year.
CALL-1980,1980,2025-03-13 06:33:00.745207,26,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Robert: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Robert: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Booked follow-up demo with the technical team.",Security and compliance are a major concern for us.,positive,low,Booked follow-up demo with the technical team.
CALL-303,303,2025-03-17 17:49:04.745207,41,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Curtis: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Curtis: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We need to see stronger ROI before moving forward.,positive,high,Verbal commitment to pilot in one department.
CALL-4879,4879,2025-04-20 13:27:58.745207,22,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Richard: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Richard: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",Security and compliance are a major concern for us.,positive,high,Customer asked for a proposal and pricing breakdown.
CALL-2192,2192,2025-12-04 13:52:09.745207,30,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
John: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
John: We're already using another project management tool.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We're already using another project management tool.,positive,medium,Verbal commitment to pilot in one department.
CALL-11,11,2025-12-08 23:13:56.745207,42,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Tammy: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Tammy: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",Implementation time is a big risk for our team.,neutral,low,Added prospect to nurture sequence.
CALL-4442,4442,2026-02-25 12:31:10.745207,32,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Becky: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Becky: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect decided to postpone project to next year.",Implementation time is a big risk for our team.,negative,high,Prospect decided to postpone project to next year.
CALL-3420,3420,2025-11-13 05:15:25.745207,34,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Whitney: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Whitney: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We need to see stronger ROI before moving forward.,positive,low,Customer asked for a proposal and pricing breakdown.
CALL-1338,1338,2025-10-03 11:40:26.745207,26,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Brenda: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Brenda: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",We need to see stronger ROI before moving forward.,positive,medium,Verbal commitment to pilot in one department.
CALL-3027,3027,2026-01-31 06:55:34.745207,40,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Bryan: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Bryan: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",We need to see stronger ROI before moving forward.,positive,high,Customer asked for a proposal and pricing breakdown.
CALL-2753,2753,2026-03-03 19:19:20.745207,33,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Dawn: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Dawn: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",Implementation time is a big risk for our team.,neutral,low,Added prospect to nurture sequence.
CALL-4030,4030,2025-09-02 21:23:22.745207,42,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Alexander: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Alexander: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect chose a competitor due to existing relationship.",We need to see stronger ROI before moving forward.,negative,low,Prospect chose a competitor due to existing relationship.
CALL-3850,3850,2025-10-05 22:53:36.745207,34,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Dustin: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Dustin: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",Security and compliance are a major concern for us.,positive,low,Verbal commitment to pilot in one department.
CALL-72,72,2025-05-26 21:09:21.745207,38,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Jason: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Jason: We don't have budget for this right now.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",We don't have budget for this right now.,neutral,low,Added prospect to nurture sequence.
CALL-3773,3773,2025-10-09 10:52:39.745207,29,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Ryan: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Ryan: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Sent product overview and case studies.",We need to see stronger ROI before moving forward.,neutral,high,Sent product overview and case studies.
CALL-1760,1760,2025-06-07 06:03:31.745207,27,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Carlos: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Carlos: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",Implementation time is a big risk for our team.,positive,medium,Verbal commitment to pilot in one department.
CALL-2209,2209,2025-04-09 06:11:59.745207,22,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Anthony: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Anthony: We need to see stronger ROI before moving forward.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Added prospect to nurture sequence.",We need to see stronger ROI before moving forward.,neutral,medium,Added prospect to nurture sequence.
CALL-842,842,2025-07-05 06:21:36.745207,44,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Trevor: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Trevor: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Customer asked for a proposal and pricing breakdown.",Security and compliance are a major concern for us.,positive,medium,Customer asked for a proposal and pricing breakdown.
CALL-3426,3426,2025-09-25 09:57:59.745207,29,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Michael: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Michael: Security and compliance are a major concern for us.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Prospect will evaluate internally and get back.",Security and compliance are a major concern for us.,neutral,medium,Prospect will evaluate internally and get back.
CALL-1005,1005,2025-08-19 12:14:11.745207,25,"AE: Thanks for taking the time today. I'd love to understand how your team manages projects.
Victoria: We currently use a mix of spreadsheets and another tool, but it's not ideal.
AE: Many of our customers felt the same before switching to CloudFlow.
Victoria: Implementation time is a big risk for our team.
AE: I understand. Here's how we typically address that concern...
NARRATOR: The call ended with the following outcome: Verbal commitment to pilot in one department.",Implementation time is a big risk for our team.,positive,high,Verbal commitment to pilot in one department.
